Date,Open,High,Low,Close,Adj Close,Volume
2021-08-31,784.900024,789.000000,778.400024,786.500000,785.304626,12114870
2021-09-01,798.099976,819.000000,795.400024,798.900024,797.685791,19972195
2021-09-02,795.500000,806.099976,792.400024,802.700012,801.480042,6799617
2021-09-03,804.500000,809.900024,787.700012,798.000000,796.787170,7509746
2021-09-06,800.849976,805.900024,795.349976,800.799988,799.582886,4539192
2021-09-07,798.000000,799.400024,782.049988,787.849976,786.652527,6926921
2021-09-08,790.000000,797.349976,783.000000,794.700012,793.492188,5903035
2021-09-09,789.000000,793.700012,784.200012,790.150024,788.949097,4909325
2021-09-13,786.000000,790.450012,783.500000,788.349976,787.151794,4814443
2021-09-14,791.000000,801.000000,790.000000,794.400024,793.192627,6301208
2021-09-15,796.000000,797.450012,787.000000,791.400024,790.197205,4075592
2021-09-16,792.500000,807.450012,789.099976,802.599976,801.380127,15446511
2021-09-17,808.849976,820.700012,797.250000,807.349976,806.122925,14641298
2021-09-20,800.000000,808.549988,791.500000,795.849976,794.640381,6306484
2021-09-21,795.250000,799.000000,772.299988,795.349976,794.141174,7833561
2021-09-22,792.500000,796.799988,786.000000,788.349976,787.151794,4359142
2021-09-23,794.349976,814.500000,792.549988,812.150024,810.915649,9043492
2021-09-24,812.549988,816.950012,795.099976,798.049988,796.837036,5184626
2021-09-27,802.900024,808.799988,792.799988,796.950012,795.738770,7715259
2021-09-28,802.000000,805.599976,778.000000,789.200012,788.000549,7369680
2021-09-29,783.000000,789.500000,778.500000,782.150024,780.961243,14241004
2021-09-30,779.900024,787.349976,764.849976,766.549988,765.384949,9178187
2021-10-01,763.400024,771.700012,754.000000,768.150024,766.982544,6089895
2021-10-04,771.099976,781.150024,770.299988,779.000000,777.816040,5845527
2021-10-05,774.400024,784.000000,771.200012,782.599976,781.410522,3945224
2021-10-06,782.250000,794.200012,776.000000,778.950012,777.766113,5092479
2021-10-07,790.000000,790.150024,774.099976,777.099976,775.918884,6622698
2021-10-08,781.900024,785.000000,776.000000,781.950012,780.761536,4295686
2021-10-11,782.000000,793.000000,779.000000,787.150024,785.953674,4417455
2021-10-12,788.000000,799.700012,785.450012,797.150024,795.938477,5098502
2021-10-13,799.950012,804.500000,793.200012,794.599976,793.392273,4381414
2021-10-14,799.000000,804.000000,788.000000,802.049988,800.830994,7157116
2021-10-18,820.000000,820.000000,802.049988,813.299988,812.063904,11014585
2021-10-19,820.000000,827.000000,798.500000,801.650024,800.431641,10633732
2021-10-20,800.599976,813.799988,792.000000,804.799988,803.576782,9023067
2021-10-21,807.950012,813.500000,792.299988,807.799988,806.572266,7405639
2021-10-22,812.000000,825.000000,806.799988,816.700012,815.458740,10646970
2021-10-25,830.099976,866.900024,825.450012,845.099976,843.815552,29193770
2021-10-26,848.400024,851.650024,823.500000,841.900024,840.620483,16771909
2021-10-27,840.000000,840.799988,785.650024,787.500000,786.303101,39606414
2021-10-28,787.500000,789.000000,754.650024,758.349976,757.197388,19320926
2021-10-29,762.000000,762.000000,714.000000,742.000000,740.872253,21343427
2021-11-01,755.000000,760.000000,740.000000,752.349976,751.206482,11694854
2021-11-02,752.500000,761.349976,748.049988,755.849976,754.701172,11812106
2021-11-03,759.450012,762.650024,748.500000,750.599976,749.459167,10529505
2021-11-04,757.000000,757.049988,751.400024,752.950012,751.805664,793433
2021-11-08,761.000000,761.000000,741.500000,751.049988,749.908508,13872770
2021-11-09,750.000000,753.950012,743.349976,745.049988,743.917603,12120207
2021-11-10,742.700012,753.349976,732.000000,749.349976,748.211060,10844883
2021-11-11,748.000000,748.000000,735.099976,738.049988,736.928284,6195359
2021-11-12,742.799988,742.799988,733.500000,736.049988,734.931274,9372897
2021-11-15,738.000000,744.000000,728.000000,733.250000,732.135559,12849161
2021-11-16,733.250000,733.299988,721.299988,726.150024,725.046387,8978763
2021-11-17,721.000000,724.900024,706.750000,712.349976,711.267334,18083445
2021-11-18,715.000000,716.000000,701.900024,706.349976,705.276428,13458109
2021-11-22,713.000000,713.000000,677.400024,686.400024,685.356812,16741079
2021-11-23,681.000000,692.650024,677.349976,685.650024,684.607910,16575348
2021-11-24,690.000000,695.099976,682.049988,685.150024,684.108704,11463429
2021-11-25,686.000000,687.000000,676.549988,679.900024,678.866699,9760486
2021-11-26,669.000000,674.900024,660.450012,661.750000,660.744263,10252753
2021-11-29,665.049988,665.450012,649.349976,651.099976,650.110413,12084376
2021-11-30,648.000000,677.450012,648.000000,655.650024,654.653503,24699809
2021-12-01,664.900024,681.400024,660.000000,679.599976,678.567078,16184200
2021-12-02,675.000000,678.799988,668.049988,676.099976,675.072388,8612601
2021-12-03,679.099976,687.349976,671.000000,673.000000,671.977112,9505985
2021-12-06,674.000000,678.750000,661.150024,663.099976,662.092163,8022785
2021-12-07,672.000000,691.549988,670.000000,687.000000,685.955872,15123987
2021-12-08,695.000000,701.549988,687.650024,697.099976,696.040466,11670826
2021-12-09,698.150024,699.900024,688.000000,693.950012,692.895325,7021395
2021-12-10,690.099976,691.950012,683.750000,688.049988,687.004272,5549743
2021-12-13,699.000000,711.900024,693.099976,704.000000,702.929993,13634563
2021-12-14,701.000000,714.000000,697.599976,710.900024,709.819580,8612512
2021-12-15,712.400024,720.000000,707.549988,712.500000,711.417114,7692888
2021-12-16,719.000000,721.950012,705.049988,709.650024,708.571472,7309187
2021-12-17,707.500000,708.000000,685.099976,688.900024,687.852966,7844705
2021-12-20,680.950012,681.849976,660.099976,674.349976,673.325073,9934646
2021-12-21,683.000000,683.000000,662.500000,665.849976,664.837952,10116104
2021-12-22,670.000000,676.849976,664.000000,669.349976,668.332642,7489534
2021-12-23,677.000000,684.500000,672.599976,678.799988,677.768311,6884683
2021-12-24,681.150024,682.000000,662.450012,667.500000,666.485474,6028893
2021-12-27,663.049988,674.599976,655.950012,672.150024,671.128479,6996729
2021-12-28,677.299988,680.849976,672.000000,675.450012,674.423401,4645547
2021-12-29,674.500000,679.599976,667.250000,670.500000,669.480957,3969894
2021-12-30,668.000000,673.099976,664.500000,668.849976,667.833435,5119705
2021-12-31,672.950012,686.500000,671.200012,678.549988,677.518677,5586980
2022-01-03,680.250000,698.500000,679.000000,696.349976,695.291626,8550860
2022-01-04,701.000000,711.049988,700.049988,709.150024,708.072205,9705906
2022-01-05,711.900024,730.900024,707.750000,726.900024,725.795227,11312955
2022-01-06,719.950012,733.500000,719.000000,730.299988,729.190063,7955578
2022-01-07,734.000000,740.900024,725.250000,730.599976,729.489563,10454143
2022-01-10,733.650024,744.000000,733.200012,742.799988,741.671021,9595787
2022-01-11,742.900024,747.049988,737.299988,743.250000,742.120361,7252279
2022-01-12,749.650024,751.450012,743.150024,746.849976,745.714844,5294563
2022-01-13,749.000000,749.000000,737.049988,740.700012,739.574280,5196538
